,Company,Job Role,Stipend,Location,Posted
0,Sampannata Enterprises Private Limited (Finclu),Business Development (Sales),"₹ 2,000 /month +  Incentives",Work From Home,2 weeks ago
1,Hamari Pahchan NGO,Social Entrepreneurship,Unpaid,Work From Home,5 days ago
2,Tare Zameen Foundation,Fundraising,"₹ 1,000 /month +  Incentives",Work From Home,2 days ago
3,Sales Angel,Presales,"₹ 10,000 /month",Work From Home,2 days ago
4,Odisha Development Management Programme (ODMP),Fundraising,"₹ 225-5,000 /week",Work From Home,7 days ago
5,Hindustan Times Media Limited,Content Writing,"₹ 10,000 /month",Work From Home,Few hours ago
6,Aam Aadmi Party,Social Media Management,Unpaid,Work From Home,1 day ago
7,CRY - Child Rights And You,Fundraising For Underprivileged Children,Unpaid,Work From Home,2 days ago
8,Times Internet,Sales,"₹ 10,000 /month",Work From Home,5 days ago
9,Aam Aadmi Party,Video Editing & Making,Unpaid,Work From Home,6 days ago
10,Aam Aadmi Party,Graphic Design,Unpaid,Work From Home,6 days ago
11,Aam Aadmi Party,Digital Media,Unpaid,Work From Home,6 days ago
12,Delhivery,Telecalling,"₹ 4,000-8,000 /month",Work From Home,1 week ago
13,Viacom India LLP,Business Analytics,"₹ 2,000-3,000 /month",Work From Home,1 week ago
14,Viacom India LLP,Business Development (Sales),"₹ 2,000 /month +  Incentives",Work From Home,1 week ago
15,Viacom India LLP,Sales,"₹ 2,000 /month +  Incentives",Work From Home,1 week ago
16,Viacom India LLP,International Business Development,"₹ 3,000 /month +  Incentives",Work From Home,1 week ago
17,Viacom India LLP,Corporate Sales,"₹ 2,000 /month +  Incentives",Work From Home,1 week ago
18,IIT Bombay,Angular UI Development & UI Design,"₹ 1,000-2,000 /month",Work From Home,1 week ago
19,IIT Bombay,Web Development (Django),"₹ 1,000-2,000 /month",Work From Home,1 week ago
20,Sportskeeda,Content Writing,"₹ 10,000-15,000 /month",Work From Home,1 week ago
21,Sportskeeda,Social Media - US Sports,"₹ 10,000 /month",Work From Home,2 weeks ago
22,InAmigos Foundation,Crowdfunding,"₹ 1,000-4,000 /week",Work From Home,Just now
23,InAmigos Foundation,Fundraising,"₹ 1,000-4,000 /week",Work From Home,Just now
24,InAmigos Foundation,Community Influencing,"₹ 1,000-5,000 /week",Work From Home,Just now
25,Caresoft Systems Private Limited,Content Writing,"₹ 10,000 /month",Work From Home,Just now
26,InAmigos Foundation,Virtual Volunteering,"₹ 1,000-4,000 /week",Work From Home,Just now
27,Auriv Learning,Teaching Mathematics (IB/IGCSE Board),"₹ 10,000 /month",Work From Home,Just now
28,Reverr,UI/UX Design,"₹ 2,500-5,000 /month",Work From Home,Just now
29,Digital Ipsum,Creative Writing,"₹ 4,000 /month",Work From Home,Just now
30,Bunny Bash Events & Rentals,Content Writing,"₹ 2,500-7,800 /month",Work From Home,Just now
31,Digital Ipsum,Social Media Marketing,"₹ 4,000 /month",Work From Home,Just now
32,Reverr,Operations,"₹ 2,000-4,000 /month",Work From Home,Just now
33,Kshitiksha Foundation,Volunteering,Unpaid,Work From Home,Just now
34,Digital Ipsum,Content Writing (Psychology),"₹ 4,000 /month",Work From Home,Just now
35,Reverr,Content Writing,"₹ 2,000-4,000 /month",Work From Home,Just now
36,Kayakriti Plastic Sugery And Dental Centre,Graphic Design,"₹ 5,000 /month",Work From Home,Just now
37,Digital Ipsum,Search Engine Optimization (SEO),"₹ 4,000 /month",Work From Home,Few hours ago
38,Brihat Infotech Private Limited,UI/UX Design,"₹ 2,000 /month",Work From Home,Few hours ago
39,DeepThought Edutech Ventures Private Limited,Industrial Psychology,"₹ 4,000 /month",Work From Home,Just now
40,HappiMynd,Virtual Volunteering,"₹ 1,000-2,000 lump sum",Work From Home,Few hours ago
41,HappiMynd,Social Work,"₹ 1,000-5,000 /month",Work From Home,Few hours ago
42,HappiMynd,Marketing,"₹ 1,000-2,000 /month",Work From Home,Few hours ago
43,HappiMynd,Impact Leading,"₹ 1,000-2,000 lump sum",Work From Home,Few hours ago
44,Wikasta Business And Technical Solutions Private Limited,Video Making/Editing,"₹ 5,000-7,500 /month",Work From Home,Few hours ago
